Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
J P Morgan,101554,CitiBank New York Branch,CAD,Deliver,79238106,2323-0505-19191919,Partially Paid,6616715,Waiting for pending amount
HSBC,106553,CitiBank HongKong,"EUR,",Receive,63259924,0808-1010-19191919,Processing,8880802,Transaction complete
BNY Mellon,103273,CitiBank Singapore,"EUR,",Deliver,74437975,2222-1111-19191919,Partially Paid,282452,Waiting for pending amount
J P Morgan,109796,CitiBank London,"EUR,",Receive,33764892,1616-1111-19191919,Processing,5349628,Waiting for pending amount
HSBC,105388,CitiBank New York Branch,USD,Deliver,19692108,2626-0707-19191919,Processing,4936364,Transaction complete
DEUTSCHE BANK,107685,CitiBank Singapore,GBP,Deliver,25324921,1212-0909-19191919,Processing,1105737,Transaction complete
DEUTSCHE BANK,103093,CitiBank London,"EUR,",Receive,8910393,1212-0202-20202020,Rejected,1707844,Waiting for pending amount
HSBC,102910,CitiBank London,CAD,Deliver,68840896,1515-0606-19191919,Fully paid,6679925,Payment Failed
HSBC,106696,CitiBank Singapore,GBP,Deliver,8934366,0606-0707-19191919,Partially Paid,9280249,Waiting for pending amount
BNY Mellon,107895,CitiBank Singapore,CAD,Deliver,64374530,1010-0505-19191919,Processing,749494,Payment is in progress
BNY Mellon,103922,CitiBank HongKong,GBP,Receive,74030100,0303-0606-20202020,Processing,7532630,Transaction complete
HSBC,108793,CitiBank New York Branch,CAD,Deliver,31128033,2424-0202-20202020,Partially Paid,7611668,Transaction complete
DEUTSCHE BANK,101063,CitiBank Singapore,"EUR,",Receive,30241208,1010-0808-19191919,Rejected,4527428,Payment Failed
HSBC,104613,CitiBank HongKong,CAD,Receive,78240403,2424-0505-19191919,Processing,2052240,Transaction complete
J P Morgan,102443,CitiBank Singapore,USD,Receive,42248971,2525-0707-19191919,Rejected,1444309,Transaction complete
BNY Mellon,109694,CitiBank HongKong,"EUR,",Receive,51789476,1212-0505-19191919,Fully paid,2826907,Transaction complete
HSBC,100923,CitiBank Singapore,"EUR,",Receive,75579234,1919-0303-20202020,Processing,620755,Transaction complete
J P Morgan,105872,CitiBank London,GBP,Deliver,45579930,2828-1010-19191919,Partially Paid,3442659,Payment is in progress
DEUTSCHE BANK,106486,CitiBank New York Branch,"EUR,",Deliver,48225755,0606-0202-20202020,Fully paid,5536658,Payment is in progress
DEUTSCHE BANK,106398,CitiBank HongKong,USD,Receive,64067230,1515-1212-19191919,Fully paid,35886,Waiting for pending amount
HSBC,103155,CitiBank HongKong,"EUR,",Receive,73478769,0909-1212-19191919,Processing,7234984,Payment is in progress
J P Morgan,107774,CitiBank Singapore,"EUR,",Deliver,11144065,2323-1010-19191919,Rejected,6948502,Waiting for pending amount
HSBC,103024,CitiBank London,CAD,Deliver,17326891,1616-1010-19191919,Fully paid,554436,Transaction complete
