Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
BNY Mellon,109008,CitiBank London,CAD,Deliver,67104819,0606-0505-20202020,Rejected,97092,Payment Failed
DEUTSCHE BANK,100668,CitiBank Singapore,"EUR,",Receive,30459207,1111-0101-20202020,Rejected,750441,Transaction complete
BNY Mellon,107063,CitiBank London,USD,Deliver,30754130,2727-0909-19191919,Rejected,1291069,Transaction complete
HSBC,102143,CitiBank HongKong,GBP,Deliver,43109979,2222-0101-20202020,Fully paid,9919793,Waiting for pending amount
DEUTSCHE BANK,107865,CitiBank HongKong,CAD,Deliver,48782298,2424-0505-20202020,Partially Paid,7537891,Waiting for pending amount
J P Morgan,104670,CitiBank London,GBP,Deliver,9170836,0808-0808-19191919,Rejected,6270103,Payment is in progress
BNY Mellon,103819,CitiBank London,GBP,Deliver,12503145,2121-0404-19191919,Fully paid,5947321,Waiting for pending amount
J P Morgan,104963,CitiBank New York Branch,USD,Receive,26975349,3131-0505-20202020,Processing,590768,Payment is in progress
HSBC,104854,CitiBank New York Branch,GBP,Receive,85581195,0303-1212-19191919,Fully paid,3587023,Payment is in progress
DEUTSCHE BANK,106181,CitiBank Singapore,CAD,Deliver,77291655,2323-0202-20202020,Partially Paid,2291456,Transaction complete
DEUTSCHE BANK,100773,CitiBank London,CAD,Deliver,91204926,1313-0505-20202020,Rejected,4175848,Payment Failed
J P Morgan,104671,CitiBank Singapore,"EUR,",Deliver,94301047,2525-1111-19191919,Rejected,1354691,Payment is in progress
BNY Mellon,109587,CitiBank London,CAD,Deliver,22407396,0707-0404-20202020,Rejected,231396,Transaction complete
BNY Mellon,105828,CitiBank New York Branch,"EUR,",Receive,43947525,1616-0404-19191919,Rejected,7698366,Payment Failed
HSBC,103408,CitiBank London,GBP,Receive,85336566,0303-0505-19191919,Rejected,5725406,Waiting for pending amount
DEUTSCHE BANK,108524,CitiBank HongKong,"EUR,",Receive,81062149,2323-1212-19191919,Partially Paid,6255381,Waiting for pending amount
DEUTSCHE BANK,102907,CitiBank London,"EUR,",Deliver,42179526,2222-0606-19191919,Rejected,5221083,Transaction complete
BNY Mellon,105212,CitiBank London,CAD,Receive,74338188,0101-0404-19191919,Processing,521243,Waiting for pending amount
BNY Mellon,105134,CitiBank New York Branch,CAD,Receive,93727752,1818-0505-20202020,Processing,1997540,Transaction complete
DEUTSCHE BANK,106402,CitiBank New York Branch,GBP,Receive,77556047,1515-1111-19191919,Rejected,1745060,Transaction complete
J P Morgan,100066,CitiBank London,"EUR,",Receive,28507497,2727-1010-19191919,Partially Paid,3421336,Waiting for pending amount
HSBC,101640,CitiBank New York Branch,USD,Receive,42771508,2020-0505-19191919,Rejected,1926490,Payment is in progress
BNY Mellon,104712,CitiBank HongKong,GBP,Deliver,92186191,1818-0505-20202020,Rejected,8870423,Transaction complete
HSBC,107408,CitiBank Singapore,CAD,Receive,49268684,2323-0606-19191919,Partially Paid,6154740,Transaction complete
HSBC,108036,CitiBank London,USD,Deliver,71715514,1515-1010-19191919,Fully paid,985898,Payment Failed
BNY Mellon,109621,CitiBank Singapore,USD,Receive,41278494,2828-0404-20202020,Partially Paid,6466967,Transaction complete
BNY Mellon,108146,CitiBank London,CAD,Receive,38576960,0303-1212-19191919,Partially Paid,5610423,Payment Failed
DEUTSCHE BANK,102683,CitiBank Singapore,USD,Deliver,80851028,0202-0404-20202020,Partially Paid,2727629,Payment Failed
HSBC,107902,CitiBank New York Branch,USD,Receive,20991661,0101-1111-19191919,Partially Paid,8655539,Waiting for pending amount
BNY Mellon,109959,CitiBank HongKong,"EUR,",Deliver,19121171,3030-0505-19191919,Fully paid,3233343,Payment Failed
HSBC,107452,CitiBank New York Branch,GBP,Deliver,81723753,0101-0909-19191919,Fully paid,2835956,Transaction complete
HSBC,109421,CitiBank London,USD,Deliver,77312797,1919-1111-19191919,Processing,4782589,Payment is in progress
DEUTSCHE BANK,103612,CitiBank London,CAD,Deliver,70738911,0303-0505-20202020,Partially Paid,8989178,Waiting for pending amount
HSBC,100426,CitiBank London,GBP,Receive,29721164,2020-0505-19191919,Partially Paid,6009498,Payment Failed
BNY Mellon,107116,CitiBank HongKong,GBP,Deliver,88580679,2525-0303-19191919,Processing,2139981,Payment Failed
J P Morgan,103556,CitiBank London,"EUR,",Receive,7098925,1313-0202-20202020,Rejected,5478345,Payment is in progress
BNY Mellon,100506,CitiBank London,GBP,Deliver,65423485,0101-0707-19191919,Processing,293854,Transaction complete
DEUTSCHE BANK,105089,CitiBank HongKong,CAD,Receive,45782193,2828-1010-19191919,Rejected,6762721,Waiting for pending amount
DEUTSCHE BANK,107219,CitiBank HongKong,USD,Receive,37499305,0505-0404-20202020,Processing,7261211,Waiting for pending amount
HSBC,104217,CitiBank New York Branch,CAD,Deliver,37419959,1515-1111-19191919,Partially Paid,8894146,Payment Failed
BNY Mellon,104341,CitiBank HongKong,USD,Receive,38819064,2727-0606-19191919,Fully paid,2687323,Transaction complete
DEUTSCHE BANK,102030,CitiBank Singapore,CAD,Receive,74993847,0303-1212-19191919,Fully paid,5316619,Payment Failed
DEUTSCHE BANK,108054,CitiBank New York Branch,"EUR,",Deliver,20717815,2222-0202-20202020,Rejected,1073344,Transaction complete
J P Morgan,107090,CitiBank New York Branch,"EUR,",Receive,99399410,3131-0303-20202020,Partially Paid,7328964,Payment is in progress
