Class,Text_Data
Pending,transaction no be unresolved sorry to inform that there have be only a partial payment of amount gbp -PRON- be definitely go to receive the rest at a later point of time warm regard
General,order for new cheque book good morning i want to place an order for an multicity cheque book for account no have atleat leave kindly send the same to the address mention in -PRON- account record
Processing,require money acquire transaction be in process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Request,ask for the detail for transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Pending,partial payment for transaction hello greeting for the day status of transaction usd for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Complete,payment do and transaction settle greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Failed,failure of transaction this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
General,send step to activate online banking hey i have to transfer fund to a different bank account urgently and now due to lockdown i only have the option to do online banking i would appreciate if -PRON- send -PRON- the instruction for the same thank in advance
Pending,incomplete transaction i regret to inform -PRON- that i could only pay the partial amount of eur i will definitely pay the remain amount as soon as possible thank -PRON- for -PRON- supreme patience and understanding regard
Failed,failure of transaction hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Pending,the pende amount for transaction will reach -PRON- soon since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Processing,handle the transaction after payment sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
General,upgrade to an account with more benefit hello greeting for the day so i have an account with -PRON- branch have no and i have recently see an advertisement which state that if i become a premium customer i can avail many benefit i have decide to upgrade -PRON- account can -PRON- please guide -PRON- through the step to be take in order to do this i would be very grateful if -PRON- reply within day thank -PRON-
Processing,process transaction have -PRON- d acknowledge the received payment for transaction -PRON- be finally in process i be appreciative of -PRON- effort kind regard
General,issue a new cheque book warm greeting to -PRON- i have recently exhaust -PRON- cheque book and would like to order a new one -PRON- should have cheque in -PRON- -PRON- preference be multicity cheque send -PRON- to -PRON- at the early opportunity expect to hear from -PRON- soon
Pending,the pende amount for transaction will reach -PRON- soon i regret to inform -PRON- the i could only pay the partial amount of usd i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Failed,transaction have -PRON- d have stop help i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
General,change address for account no hey -PRON- s -PRON- again this time i want to change the address mention in -PRON- record since i have recently move out of -PRON- previous place -PRON- new address be windsor road london please update this one thank
Pending,partially pay the require amount for transaction there have be only a partial payment of amount gbp assure -PRON- that the rest will be pay later warm regard
Pending,there be an outstanding payment for transaction the transaction be take too long to complete -PRON- would be nice of -PRON- to guide -PRON- through the further step to be take in order to complete the transaction hope to hear from -PRON- at the early opportunity
Complete,sort out the transaction with -PRON- d greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Processing,handle the transaction after payment thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Failed,transaction have fail i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Failed,failure of transaction greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Processing,accepted payment transaction currently process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Complete,transaction be complete to whom -PRON- may concern i just receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Pending,transaction no be unresolved hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
General,urgent not able to withdraw amount this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help this be urgently require
Processing,accepted payment transaction currently process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Processing,payment receive for transaction and now process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Processing,accepted payment transaction currently process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Processing,process transaction have -PRON- d sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Request,request to send detail of transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Complete,fulfil transaction have -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Failed,transaction have fail this be to notify -PRON- that -PRON- transaction have fail kindly help -PRON- understand why do this happen do i do something wrong i be pretty sure i follow every instruction very carefully this be very unexpected perhaps this be a technical failure from -PRON- side eagerly wait for -PRON- to reply
